state_ut_name,ac_no,ac_name,sex,age,category,party,symbol,general,postal,total,pct_votes_polled,total_electors,candidate_no,candidate_name
WEST BENGAL,5,SITALKUCHI,MALE,42.0,SC,CPI(M),"Hammer, Sickle and Star",6622,98,6720,2.73,285260.0,3,SUDHANGSHU PRAMANIK
WEST BENGAL,5,SITALKUCHI,,,,NOTA,NOTA,2738,5,2743,1.12,285260.0,4,NOTA
WEST BENGAL,5,SITALKUCHI,MALE,49.0,SC,IND,Football Player,2018,0,2018,0.82,285260.0,5,HARE KRISHNA SARKAR
WEST BENGAL,5,SITALKUCHI,MALE,40.0,SC,KPPU,Boat with Man and Sail,970,6,976,0.4,285260.0,6,MANIK CHANDRA BARMAN
WEST BENGAL,5,SITALKUCHI,MALE,52.0,SC,AMB,Sitar,719,2,721,0.29,285260.0,7,KAMAL BARMAN
WEST BENGAL,5,SITALKUCHI,MALE,50.0,SC,SUCI,Battery torch,691,2,693,0.28,285260.0,8,JAGADISH ADHIKARI
TURN OUT,,,,,TOTAL:,,,244405,1561,245966,86.23,,,
WEST BENGAL,6,SITAI,MALE,57.0,SC,AITC,Flowers and Grass,116850,1058,117908,49.42,290568.0,1,JAGADISH CHANDRA BARMA BASUNIA
WEST BENGAL,6,SITAI,MALE,55.0,SC,BJP,Lotus,106723,1073,107796,45.18,290568.0,2,DIPAK KUMAR ROY
WEST BENGAL,6,SITAI,MALE,68.0,SC,INC,Hand,3900,64,3964,1.66,290568.0,3,KESHAB CHANDRA RAY
WEST BENGAL,6,SITAI,MALE,52.0,SC,IND,Cauliflower,2387,4,2391,1.0,290568.0,4,SUNIL MAHANTA
WEST BENGAL,6,SITAI,MALE,66.0,SC,IND,Almirah,1773,3,1776,0.74,290568.0,5,LALCHAND BARMAN
WEST BENGAL,6,SITAI,,,,NOTA,NOTA,1564,13,1577,0.66,290568.0,6,NOTA
WEST BENGAL,6,SITAI,MALE,62.0,SC,SUCI,Battery torch,1371,10,1381,0.58,290568.0,7,ANIL CHANDRA BARMAN ROY
WEST BENGAL,6,SITAI,MALE,56.0,SC,IND,SHIP,862,4,866,0.36,290568.0,8,KASHIKANTA BARMAN
WEST BENGAL,6,SITAI,MALE,27.0,SC,LJP,Bungalow,548,2,550,0.23,290568.0,9,PROSHANTA BARMAN
WEST BENGAL,6,SITAI,MALE,68.0,SC,AMB,Boat with Man and Sail,364,5,369,0.15,290568.0,10,PRASANNA KUMAR ROY
TURN OUT,,,,,TOTAL:,,,236342,2236,238578,82.11,,,
WEST BENGAL,7,DINHATA,MALE,35.0,SC,BJP,Lotus,114361,1674,116035,47.6,299251.0,1,NISITH PRAMANIK
WEST BENGAL,7,DINHATA,MALE,66.0,GENERAL,AITC,Flowers and Grass,114887,1091,115978,47.58,299251.0,2,UDAYAN GUHA
WEST BENGAL,7,DINHATA,MALE,54.0,GENERAL,AIFB,Lion,5916,153,6069,2.49,299251.0,3,ABDUR ROUF
WEST BENGAL,7,DINHATA,,,,NOTA,NOTA,1515,22,1537,0.63,299251.0,4,NOTA
WEST BENGAL,7,DINHATA,MALE,37.0,GENERAL,IND,Football Player,1386,1,1387,0.57,299251.0,5,LEBU MIYAN
WEST BENGAL,7,DINHATA,MALE,45.0,SC,SUCI,Battery torch,1364,11,1375,0.56,299251.0,6,PRADIP ROY
WEST BENGAL,7,DINHATA,MALE,44.0,SC,IND,Glass Tumbler,1361,9,1370,0.56,299251.0,7,NIRMAL CHANDRA BARMAN
TURN OUT,,,,,TOTAL:,,,240790,2961,243751,81.45,,,
WEST BENGAL,8,NATABARI,MALE,67.0,GENERAL,BJP,Lotus,110020,1723,111743,51.45,245040.0,1,MIHIR GOSWAMI
WEST BENGAL,8,NATABARI,MALE,65.0,GENERAL,AITC,Flowers and Grass,87098,1205,88303,40.66,245040.0,2,RABINDRA NATH GHOSH
WEST BENGAL,8,NATABARI,MALE,31.0,GENERAL,CPI(M),"Hammer, Sickle and Star",11584,255,11839,5.45,245040.0,3,AKIK HASSAN
WEST BENGAL,8,NATABARI,MALE,45.0,GENERAL,IND,Diesel Pump,1338,3,1341,0.62,245040.0,4,SAHIDUL HOSSAIN
WEST BENGAL,8,NATABARI,MALE,41.0,GENERAL,SUCI,Battery torch,1178,8,1186,0.55,245040.0,5,ABDUS SALAM
WEST BENGAL,8,NATABARI,,,,NOTA,NOTA,1127,19,1146,0.53,245040.0,6,NOTA
WEST BENGAL,8,NATABARI,MALE,66.0,SC,AMB,Helicopter,1103,7,1110,0.51,245040.0,7,DALENDRA NATH RAY
WEST BENGAL,8,NATABARI,MALE,34.0,GENERAL,UTSAP,Boat with Man and Sail,500,5,505,0.23,245040.0,8,EKRAMUL HOQUE
TURN OUT,,,,,TOTAL:,,,213948,3225,217173,88.63,,,
WEST BENGAL,9,TUFANGANJ,FEMALE,56.0,SC,BJP,Lotus,112609,1894,114503,54.69,234311.0,1,MALATI RAVA ROY
WEST BENGAL,9,TUFANGANJ,MALE,60.0,GENERAL,AITC,Flowers and Grass,82546,759,83305,39.79,234311.0,2,PRANAB KUMAR DEY
WEST BENGAL,9,TUFANGANJ,MALE,67.0,SC,INC,Hand,5804,169,5973,2.85,234311.0,3,RABIN ROY
